Timestamp,Where are your classes? (ex. Neuroscience Building),How do you stay hydrated during the summer?,Have you ever had to go to McCosh or other medical places because of excess heat?,How well do you think Princeton is good at notifying students of heatwaves? ,Does the heat distract you from your academics during classes?,SPIA,ECON,Math and Physics Buildings,Frick Chemistry Lab,McCosh Hall,East Pyne,Firestone,Frist,EQuad,Aaron Burr,What do you think Princeton can do to mitigate the effects of heatwaves?
11/13/2023 19:54:12,"EQuad, McCosh",I drink a lot of water. ,Never,3,"yes, I sweat a lot",4,4,5,5,2,4,4,5,5,4,Provide more AC in academic buildings and dorms
11/14/2023 22:10:20,"Frist, McCosh",Try to drink water every day,Never,3,Yes,5,5,3,4,1,2,3,5,,4,Provide stronger AC
11/16/2023 9:37:19,"McCosh, East Pyne",drinking water ,Never,3,yes- when there is no ac,4,4,4,4,1,3,4,4,4,4,AC in all buildings and more water fountains
11/16/2023 9:37:26,East Pyne,Drinking lots of water ,Yes - once in a year,1,"Yes, I am unable to focus sometimes because it is so hot especially when I am trying to study in my room since i dont have AC",5,5,,,1,2,5,5,,,"Put AC or provide better fans in each building, especially dorms!!! "
11/16/2023 9:47:22,"Mccosh, Econ, Spia, Green Hall",drink water constantly ,Never,3,sometimes yes ,5,5,3,3,1,3,2,5,5,3,implement more AC units in old buildings!! 
11/16/2023 10:05:43,"McCosh, SPIA, Lewis, Frist ","Drinking water and electrolytes, trying to stay out of sun in the middle of the day when it’s most powerful ",Never,1,Yes ,4,,,,1,,4,4,,,There needs to be air conditioning in all dorms. Myself and several friends had to move into a friends dorm throughout the first few weeks of school because it was just too hot. It is unfair that everyone is paying the same price for housing but there is such differences in the comfort of these buildings.  
11/20/2023 11:11:39,"Aaron Bur Hall
Jadwin Hall
Fine Hall
Friend Center
Jones Hall","Water, Pocari Sweat",Never,3,Sometimes it gets very uncomfortable,4,4,2,4,1,2,3,4,4,4,Inform people about heat zones and also encourage people to stay hydrated through the day . Also to have people avoid going outside whenever weather is not safe to be outside.
11/20/2023 11:11:58,"Aaron Burr, Neuroscience, McCosh, Frist, Woolworth","Drink lots of water (maybe at least 4 bottles), stay near fans and AC to cool down, ",Never,2,Sometimes,,,4,4,3,3,5,5,,4,Get more better AC
11/20/2023 11:12:37,"Aaron Burr, Frick",I drink water,Never,2,No,3,3,3,5,4,5,5,5,5,5,Give everyone ACs
11/20/2023 11:12:52,"Aaron Burr, Jadwin, Lewis Art Center ","drink water, but not too cold water. I heard drinking room temperature water is better than drinking icy water because of its impact on metabolism and blood circulation. ",Never,2,if i sweat a lot yes. ,5,,4,4,2,,3,3,4,4,"Install more AC, effort from nutrition sides, and more education"
11/20/2023 11:15:33,"Frist, McCosh, Fine, Wallace, CST Studio Lab",drinking water,Never,3,"During the fall it does, but not at other times",,,4,,2,3,4,3,,,"Better distribution for box fans, making disposable water bottles available, hopefully installing A/C???"
11/20/2023 11:23:43,"Arron burr, east Pyne, SPIA","drink lots of water, keep time in sun to a minimum ",Never,2,yes,4,4,4,4,1,2,3,3,4,4,install more AC
11/20/2023 11:30:34,"Computer Science Building, Friend Center, Frist Campus Center, Jadwin Hall.",I drink lots of water.,Never,2,"Yes, it does.",3,4,2,4,1,2,4,3,2,4,They could cancel classes in buildings with no AC if there is too hot of a heatwave.
11/20/2023 11:33:18,Philosophy department,I probably don't stay hydrated enough. When I'm feeling dehydrated I usually drink something like gatorade for the electrolytes,Never,2,not significantly. ,3,3,3,3,2,3,4,4,3,4,host classes earlier or later in the day rather than when it is hottest? I'm reluctant to say more AC although that would work because of the environmental impact. 
11/20/2023 11:57:21,"Frist, Friend Center, Woolworth, McCosh Hall, Fine Hall, Lewis Library, 1879",I drink water.,Never,1,Yes,,5,2,,1,4,5,4,,,Have more air conditioning and fans. 
11/20/2023 12:00:40,"McCosh, Friend Center, Fine Hall, Blair Hall",I drink water frequently.,Never,3,No.,3,3,3,3,3,3,4,4,3,,
11/20/2023 12:01:26,"Lewis, MacDonell, Jadwin, EQuad, McCosh 50",drink water,Never,2,sometimes,5,5,4,4,3,4,4,4,3,4,more AC units 
11/20/2023 12:13:52,"Jadwin, McDonnell, McCosh",drink water,Never,3,sometimes -- only in buildings with no air conditioning like mccosh,,,5,,2,,5,5,,,get better ac systems
11/20/2023 12:15:43,"McCosh, Lewis, Friend",Drinking lots of water (2-3 litres a day),Never,2,"Occasionally, it makes me feel quite sleepy and energy-taxed when at extremes, but doesn't always adversely affect me",4,3,3,4,2,4,5,5,5,3,"Install more air conditioning, and give warnings during adverse heat conditions through TigerAlert or some other method"
11/20/2023 12:23:11,"Wallace Hall, JRR, New South, McCosh 50",Water and liquid Iv,Never,3,No,5,5,5,5,5,5,5,5,5,5,All dorms air conditioning
11/20/2023 12:23:30,"Guyot, Friend Center, Blaires Arch, Equad","Water, sports drinks, watermelon",Never,3,"No, I was fortunate enough to be in Whitman w/ ac ",3,3,3,4,4,3,5,5,2,3,notify students w steps to prepare/deal w hest
11/20/2023 12:32:04,"Fine, McDonnell, Frick, Lewis Library and New South ",I carry a water bottle with me everywhere I go ,Never,3,Nope ,3,3,3,5,3,3,4,3,3,3,Put air conditioning in the old buildings or at least offer plenty of fans 
11/20/2023 12:32:28,"Spia Building, Wallace, New South, Mccosh",WATER,Never,2,Not really,4,2,3,3,3,2,3,3,3,3,Water stations??
11/20/2023 12:50:54,"Math, Physics, COS, FRS ",Bring bottled water with me ,Never,3,My dorm has no ac so it was rough when the semester started ,3,3,4,3,3,3,4,4,4,3,"Text Notification, Group cool-down activities "
11/20/2023 13:00:36,"Guyot Hall, McCosh Hall, Friend Center, Computer Science Building, E-Quad",water,Never,3,"only when it’s really hot and i get all sweaty walking up to the e-quad, but that was just during summer",4,3,2,4,4,3,4,2,4,3,improve transit/mobility options and not ban PEVs
11/20/2023 13:08:40,"Frick, Jadwin, Friend, Kanji, Fine",Drink lots of water from my water bottle,Never,3,Yes,,,2,5,,,,,2,,More ac?
11/20/2023 13:18:33,"McCosh, Frist, New South","Drinking water, staying inside",Never,3,Yes it does because I have allergies,4,3,3,3,2,2,3,5,3,3,Implement better air conditioning
11/20/2023 13:25:19,"Frist Campus Center, Jones Hall, McCosh 50, Frick Laboratory, Grousebeck Hall",mainly water and drinks !,Yes - once in a year,2,omg yes,3,3,2,4,2,3,4,5,3,4,put ac. they have the money lol
11/20/2023 13:35:51,"Jadwin Hall, Fine Hall, Friend Center",Drink Water,Never,3,Sometimes yes,3,3,5,3,2,3,4,5,3,3,Install AC in all classes and buildings
11/20/2023 13:54:57,"Mostly frist, jadwin and lewis ",Try to drink water and put ice in my water bottle,Never,3,Not really but sometimes ,,,3,,4,4,4,3,,,Maybe better air conditioning control? Seems really all over the place
11/20/2023 14:29:32,Guyot Hall,Water bottle life,Never,3,Yes,4,4,4,5,3,3,4,4,4,3,A/C in all buildings
11/20/2023 15:59:26,McDonnell,Drinking lots of water from a big water bottle ,Never,3,Probably yes,,5,3,,2,,4,,,,"AC in dorms (Forbes, Rocky, Mathey)"
11/20/2023 16:20:48,"guyot hall, cos building, frick",nuun in my water (hydrating tablet),Never,1,sometimes,,,3,5,1,,4,4,4,,ac/fanning units for all dorms
11/20/2023 16:36:20,"East Pyne, Mccosh, Fine Hall, New South",Disposable water bottles ,Never,3,Yes ,4,4,3,4,2,2,3,4,4,,Let me crank the air down to 65 in yoseloff instead of limiting it to 69 i wake up sweating!!
